Sample	Chromosome	Start.bp	End.bp	Num.Markers	Seg.CN
AC-P02-Tumor-SM-63B4K	1	30503	31907048	5713	-0.399883
AC-P02-Tumor-SM-63B4K	1	32043061	67207121	6361	0.000000
AC-P02-Tumor-SM-63B4K	1	67236163	79128565	926	0.349223
AC-P02-Tumor-SM-63B4K	1	82302744	82456831	53	-0.423727
AC-P02-Tumor-SM-63B4K	1	84335767	155041589	6252	0.000000
AC-P02-Tumor-SM-63B4K	1	155057882	161736234	2462	0.746604
AC-P02-Tumor-SM-63B4K	1	161748112	177937116	1699	1.256328
AC-P02-Tumor-SM-63B4K	1	178252828	207700468	4096	0.000000
AC-P02-Tumor-SM-63B4K	1	207702146	207734482	27	0.690707
AC-P02-Tumor-SM-63B4K	1	207737385	227288942	2058	0.000000
AC-P02-Tumor-SM-63B4K	1	227300125	232564312	690	0.328154
AC-P02-Tumor-SM-63B4K	1	232568219	234041506	137	0.000000
AC-P02-Tumor-SM-63B4K	1	234367489	235955427	278	0.316036
AC-P02-Tumor-SM-63B4K	1	235956914	247769819	1048	0.000000
AC-P02-Tumor-SM-63B4K	2	669578	42488436	4001	0.000000
AC-P02-Tumor-SM-63B4K	2	42508115	42528534	15	5.842861
AC-P02-Tumor-SM-63B4K	2	42530371	42883442	41	1.685234
AC-P02-Tumor-SM-63B4K	2	42931458	58449179	1336	0.393042
AC-P02-Tumor-SM-63B4K	2	60679803	62728624	403	0.758135
AC-P02-Tumor-SM-63B4K	2	62729687	64864007	215	0.393042
AC-P02-Tumor-SM-63B4K	2	65228626	97271248	2619	0.000000
AC-P02-Tumor-SM-63B4K	2	97274401	97361641	27	0.654354
AC-P02-Tumor-SM-63B4K	2	97363313	97493934	69	0.000000
AC-P02-Tumor-SM-63B4K	2	97494439	97509731	23	0.319163
AC-P02-Tumor-SM-63B4K	2	97514183	98744873	155	0.000000
AC-P02-Tumor-SM-63B4K	2	98750404	100289053	348	0.387765
AC-P02-Tumor-SM-63B4K	2	100368765	103095763	365	0.896316
AC-P02-Tumor-SM-63B4K	2	103120168	103431429	61	1.198866
AC-P02-Tumor-SM-63B4K	2	105473473	106694384	83	0.896316
AC-P02-Tumor-SM-63B4K	2	106710613	109109248	133	1.432425
AC-P02-Tumor-SM-63B4K	2	109111943	109289487	14	0.387765
AC-P02-Tumor-SM-63B4K	2	109292486	109388329	51	0.941464
AC-P02-Tumor-SM-63B4K	2	109389039	109964405	67	1.653083
AC-P02-Tumor-SM-63B4K	2	110015399	114251573	506	-0.349260
AC-P02-Tumor-SM-63B4K	2	114252828	149447942	1844	0.000000
AC-P02-Tumor-SM-63B4K	2	149522715	149542570	13	1.757060
AC-P02-Tumor-SM-63B4K	2	149806976	225750902	9225	0.000000
AC-P02-Tumor-SM-63B4K	2	226273817	242447452	2343	-0.301378
AC-P02-Tumor-SM-63B4K	3	2861267	11340331	959	0.000000
AC-P02-Tumor-SM-63B4K	3	11340892	11374569	13	0.496824
AC-P02-Tumor-SM-63B4K	3	11382211	47704084	4070	0.000000
AC-P02-Tumor-SM-63B4K	3	47712209	47734792	15	1.372813
AC-P02-Tumor-SM-63B4K	3	47742894	56183160	3626	0.000000
AC-P02-Tumor-SM-63B4K	3	56207548	64672646	817	-0.352194
AC-P02-Tumor-SM-63B4K	3	65342809	182947571	8349	0.000000
AC-P02-Tumor-SM-63B4K	3	182988725	183036007	13	0.536059
AC-P02-Tumor-SM-63B4K	3	183041141	193385071	1187	0.000000
AC-P02-Tumor-SM-63B4K	3	193854279	194147983	22	0.368025
AC-P02-Tumor-SM-63B4K	3	194150505	197508782	316	0.000000
AC-P02-Tumor-SM-63B4K	4	1066802	48069724	3487	0.000000
AC-P02-Tumor-SM-63B4K	4	52729675	57899479	708	0.610378
AC-P02-Tumor-SM-63B4K	4	62445333	111553638	4151	0.000000
AC-P02-Tumor-SM-63B4K	4	111554156	113574394	134	0.359230
