Gene Symbol	Locus ID	Cytoband	AC-P02-Tumor-SM-63B4K	AC-P04-Tumor-SM-63B4O	AC-P04-Tumor-SM-63B4Q	AC-P05-Tumor-SM-63B4R	AC-P06-Tumor-SM-63B4T	AC-P07-Tumor-SM-63B4V	AC-P08-Tumor-SM-63B4X	AC-P09-Tumor-SM-63B4Z	AC-P09-Tumor-SM-63B52	AC-P10-Tumor-SM-63B53	AC-P10-Tumor-SM-63B55	AC-P11-Tumor-SM-63B56	AC-P12-Tumor-SM-63B58	AC-P12-Tumor-SM-63B59	AC-P14-Tumor-SM-63B5C	AC-P15-Tumor-SM-63B5D	AC-P15-Tumor-SM-63B5F
ACAP3	116983	1p36.33	-0.400	0.036	0.113	0.329	0.239	0.115	0.023	0.018	-0.025	0.086	-0.218	-0.086	0.344	0.366	0.073	0.070	0.058
ACTRT2	140625	1p36.32	-0.400	0.036	0.113	0.329	0.239	0.115	0.023	0.018	-0.025	0.086	-0.218	-0.086	0.344	0.366	0.073	0.070	0.058
AGRN	375790	1p36.33	-0.400	0.036	0.113	0.329	0.239	0.115	0.023	0.018	-0.025	0.086	-0.218	-0.086	0.344	0.366	0.073	0.070	0.058
ANKRD65	441869	1p36.33	-0.400	0.036	0.113	0.329	0.239	0.115	0.023	0.018	-0.025	0.086	-0.218	-0.086	0.344	0.366	0.073	0.070	0.058
ATAD3A	55210	1p36.33	-0.400	0.036	0.113	0.329	0.239	0.115	0.023	0.018	-0.025	0.086	-0.218	-0.086	0.344	0.366	0.073	0.070	0.058
ATAD3B	83858	1p36.33	-0.400	0.036	0.113	0.329	0.239	0.115	0.023	0.018	-0.025	0.086	-0.218	-0.086	0.344	0.366	0.073	0.070	0.058
ATAD3C	219293	1p36.33	-0.400	0.036	0.113	0.329	0.239	0.115	0.023	0.018	-0.025	0.086	-0.218	-0.086	0.344	0.366	0.073	0.070	0.058
AURKAIP1	54998	1p36.33	-0.400	0.036	0.113	0.329	0.239	0.115	0.023	0.018	-0.025	0.086	-0.218	-0.086	0.344	0.366	0.073	0.070	0.058
B3GALT6	126792	1p36.33	-0.400	0.036	0.113	0.329	0.239	0.115	0.023	0.018	-0.025	0.086	-0.218	-0.086	0.344	0.366	0.073	0.070	0.058
C1orf159	54991	1p36.33	-0.400	0.036	0.113	0.329	0.239	0.115	0.023	0.018	-0.025	0.086	-0.218	-0.086	0.344	0.366	0.073	0.070	0.058
C1orf170	84808	1p36.33	-0.400	0.036	0.113	0.329	0.239	0.115	0.023	0.018	-0.025	0.086	-0.218	-0.086	0.344	0.366	0.073	0.070	0.058
C1orf233	643988	1p36.33	-0.400	0.036	0.113	0.329	0.239	0.115	0.023	0.018	-0.025	0.086	-0.218	-0.086	0.344	0.366	0.073	0.070	0.058
C1orf86	199990	1p36.33	-0.400	0.036	0.113	0.329	0.239	0.115	0.023	0.018	-0.025	0.086	-0.218	-0.086	0.344	0.366	0.073	0.070	0.058
CALML6	163688	1p36.33	-0.400	0.036	0.113	0.329	0.239	0.115	0.023	0.018	-0.025	0.086	-0.218	-0.086	0.344	0.366	0.073	0.070	0.058
