rank	gene	longname	codelen	nnei	nncd	nsil	nmis	nstp	nspl	nind	nnon	npat	nsite	pCV	pCL	pFN	p	q
1	FBXW7	F-box and WD repeat domain containing 7	2580	148	0	0	7	1	0	0	8	7	5	5.264465e-09	1.100000e-04	1.950600e-01	7.887691e-12	1.443053e-07
2	ARNT2	aryl-hydrocarbon receptor nuclear translocator 2	2226	2	0	0	0	0	0	2	2	2	1	5.745880e-06	1.000000e-02	5.982000e-01	1.015423e-06	9.288584e-03
3	KIAA0247	KIAA0247	932	399	0	0	0	0	0	2	2	2	1	1.266231e-04	1.000000e-02	9.204000e-01	1.846097e-05	1.125811e-01
4	DNAJC24	DnaJ (Hsp40) homolog, subfamily C, member 24	535	165	0	0	3	0	0	0	3	3	2	1.639038e-03	2.410000e-02	2.120000e-02	4.467446e-05	1.984274e-01
5	C6orf62	chromosome 6 open reading frame 62	706	620	0	0	0	0	0	2	2	2	1	4.314751e-04	1.000000e-02	1.670000e-01	5.761690e-05	1.984274e-01
6	CLCN7	chloride channel 7	2514	125	0	0	0	0	2	0	2	2	1	3.085508e-04	5.900000e-02	2.560000e-01	6.525870e-05	1.984274e-01
7	C9orf37	chromosome 9 open reading frame 37	533	89	0	0	2	0	0	0	2	2	1	5.815557e-04	2.360000e-02	4.482000e-01	7.592195e-05	1.984274e-01
8	RAN	RAN, member RAS oncogene family	675	475	0	0	0	0	0	2	2	2	1	8.934800e-04	1.000000e-02	9.722000e-01	1.128068e-04	2.282368e-01
9	AHSG	alpha-2-HS-glycoprotein	1130	575	0	0	2	0	0	0	2	2	1	4.646216e-04	1.820000e-02	6.300000e-02	1.169574e-04	2.282368e-01
10	RBBP6	retinoblastoma binding protein 6	5499	0	0	0	6	0	0	0	6	2	3	9.967379e-01	1.000000e-05	6.383500e-01	1.247536e-04	2.282368e-01
11	KIAA0319	KIAA0319	3329	98	0	0	0	1	1	0	2	2	2	6.723412e-05	1	1.340000e-01	1.384293e-04	2.302331e-01
12	PPP4R1	protein phosphatase 4, regulatory subunit 1	2929	431	0	0	0	0	0	2	2	2	1	1.775064e-03	1.000000e-02	7.779500e-01	2.119264e-04	3.081331e-01
13	BCL2L1	BCL2-like 1	706	434	0	0	2	0	0	0	2	2	1	1.900402e-03	1.000000e-02	9.960000e-01	2.255941e-04	3.081331e-01
14	ID3	inhibitor of DNA binding 3, dominant negative helix-loop-helix protein	368	512	0	0	2	0	0	0	2	2	1	4.983387e-04	6.600000e-02	5.860000e-01	2.464391e-04	3.081331e-01
15	CSMD1	CUB and Sushi multiple domains 1	10784	11	0	0	4	0	0	0	4	4	2	2.157008e-01	1.000000e-04	9.999000e-01	2.533235e-04	3.081331e-01
16	STK17B	serine/threonine kinase 17b	1147	25	0	1	3	0	0	0	3	2	2	2.359892e-02	1.020000e-02	3.933333e-03	2.750291e-04	3.081331e-01
17	ABRA	actin-binding Rho activating protein	1152	445	0	0	2	0	0	0	2	2	1	2.466108e-03	1.000000e-02	4.516000e-01	2.863221e-04	3.081331e-01
18	ZNF500	zinc finger protein 500	1463	170	0	0	2	0	0	0	2	2	1	2.938962e-03	3.120000e-02	7.280000e-02	3.360665e-04	3.415742e-01
19	MYH15	myosin, heavy chain 15	6007	38	0	0	3	0	0	0	3	3	2	4.418095e-02	1.300000e-03	7.470000e-02	5.092892e-04	4.738244e-01
20	HSPA8	heat shock 70kDa protein 8	1973	303	0	0	2	0	0	0	2	2	1	4.804222e-03	1.000000e-02	1.656000e-01	5.257467e-04	4.738244e-01
21	OR5C1	olfactory receptor, family 5, subfamily C, member 1	962	1000	0	0	2	0	0	0	2	2	1	1.242543e-03	3.400000e-02	3.580000e-01	6.034113e-04	4.738244e-01
22	MKL1	megakaryoblastic leukemia (translocation) 1	2844	223	0	0	2	0	0	0	2	2	1	5.635828e-03	1.000000e-02	8.570000e-02	6.077553e-04	4.738244e-01
23	PDXDC1	pyridoxal-dependent decarboxylase domain containing 1	2455	150	0	0	2	0	0	0	2	2	1	3.155700e-03	1.800000e-02	7.130000e-01	6.121007e-04	4.738244e-01
24	NFE2L2	nuclear factor (erythroid-derived 2)-like 2	1834	8	0	2	1	0	0	2	3	3	2	9.792030e-03	5.900000e-03	4.466000e-01	6.215788e-04	4.738244e-01
25	MRGPRX1	MAS-related GPR, member X1	971	158	0	0	2	0	0	0	2	2	1	4.236180e-03	1.900000e-02	7.950000e-01	7.184060e-04	5.157011e-01
26	C17orf53	chromosome 17 open reading frame 53	1980	288	0	0	2	0	0	0	2	2	1	6.928953e-03	1.000000e-02	2.751000e-01	7.328904e-04	5.157011e-01
27	SMAD9	SMAD family member 9	1424	1000	0	0	2	0	0	0	2	2	1	6.282524e-03	1.210000e-02	2.079000e-01	7.970190e-04	5.400541e-01
