name	cov_gidx	longname	chr	start	end	len	gc	AC-DFCI_AC_PD1-1-Tumor-SM-9LRI9	AC-P02-Tumor-SM-63B4K	AC-P04-Tumor-SM-63B4O	AC-P04-Tumor-SM-63B4Q	AC-P05-Tumor-SM-63B4R	AC-P06-Tumor-SM-63B4T	AC-P07-Tumor-SM-63B4V	AC-P08-Tumor-SM-63B4X	AC-P09-Tumor-SM-63B4Z	AC-P09-Tumor-SM-63B52	AC-P10-Tumor-SM-63B53	AC-P10-Tumor-SM-63B55	AC-P11-Tumor-SM-63B56	AC-P12-Tumor-SM-63B58	AC-P12-Tumor-SM-63B59	AC-P14-Tumor-SM-63B5C	AC-P15-Tumor-SM-63B5D	AC-P15-Tumor-SM-63B5F	
A1BG	1	alpha-1-B glycoprotein	19	58858174	58864865	1488	5.025000e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
A1CF	2	APOBEC1 complementation factor	10	52566327	52645435	1908	3.656500e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
A2BP1	3	RNA binding protein, fox-1 homolog (C. elegans) 1	16	6069132	7763340	1377	4.114500e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
A2M	4	alpha-2-macroglobulin	12	9220304	9268558	4425	3.884950e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
A2ML1	5	alpha-2-macroglobulin-like 1	12	8975150	9029375	4365	4.375600e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
A4GALT	6	alpha 1,4-galactosyltransferase (globotriaosylceramide synthase)	22	43088128	43116876	1062	5.143400e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
A4GNT	7	alpha-1,4-N-acetylglucosaminyltransferase	3	137842560	137851229	1023	4.178750e-01	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
AAAS	8	achalasia, adrenocortical insufficiency, alacrimia (Allgrove, triple-A)	12	53701241	53715412	1641	4.922500e-01	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
AACS	9	acetoacetyl-CoA synthetase	12	125549925	125627872	2019	5.069700e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
AADAC	10	arylacetamide deacetylase (esterase)	3	151531861	151546277	1200	3.701500e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
AADACL2	11	arylacetamide deacetylase-like 2	3	151451704	151475554	1206	3.693050e-01	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
AADACL3	12	arylacetamide deacetylase-like 3	1	12776118	12788726	1057	4.613450e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
AADACL4	13	arylacetamide deacetylase-like 4	1	12704566	12727096	1224	4.613450e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
AADAT	14	aminoadipate aminotransferase	4	170981374	171011372	1278	4.132500e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
AAGAB	15	alpha- and gamma-adaptin binding protein	15	67493369	67547074	948	4.384500e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
AAK1	16	AP2 associated kinase 1	2	69685127	69870977	2886	4.238100e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
AAMP	17	angio-associated, migratory cell protein	2	219128853	219134893	1305	4.858750e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
AANAT	18	arylalkylamine N-acetyltransferase	17	74449433	74466198	759	5.312850e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
AARS	19	alanyl-tRNA synthetase	16	70286297	70323412	2907	4.516100e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
AARS2	20	alanyl-tRNA synthetase 2, mitochondrial (putative)	6	44266463	44281063	2958	4.897200e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
AARSD1	21	alanyl-tRNA synthetase domain containing 1	17	41102545	41132545	1800	4.660700e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
AASDH	22	aminoadipate-semialdehyde dehydrogenase	4	57204459	57253638	3297	4.041150e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
